m49,area,item_code,item,year,usd_tonne
250,France,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,1469.2
250,France,544,Strawberries,2024,5576.1
268,Georgia,388,Tomatoes,2024,551.3
268,Georgia,397,Cucumbers and gherkins,2024,621.2
268,Georgia,399,Eggplants (aubergines),2023,1266.5
268,Georgia,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2023,1767.3
268,Georgia,544,Strawberries,2010,1482.5
275,Palestine,372,Lettuce and chicory,2024,776.9
275,Palestine,388,Tomatoes,2024,2345.2
275,Palestine,397,Cucumbers and gherkins,2024,944.8
275,Palestine,399,Eggplants (aubergines),2024,1526.2
275,Palestine,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,4656.7
275,Palestine,430,Okra,2024,8357.1
275,Palestine,544,Strawberries,2024,952.7
275,Palestine,568,Cantaloupes and other melons,2024,301.7
276,Germany,372,Lettuce and chicory,2024,1384.3
276,Germany,388,Tomatoes,2024,2586.7
276,Germany,397,Cucumbers and gherkins,2024,1003.4
276,Germany,544,Strawberries,2024,3733.1
288,Ghana,388,Tomatoes,2022,739.8
288,Ghana,399,Eggplants (aubergines),2022,582.4
288,Ghana,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2022,1057.2
288,Ghana,430,Okra,2019,685.3
300,Greece,372,Lettuce and chicory,2024,968.6
300,Greece,388,Tomatoes,2024,1088.7
300,Greece,397,Cucumbers and gherkins,2024,868.4
300,Greece,399,Eggplants (aubergines),2024,744.3
300,Greece,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,651.7
300,Greece,430,Okra,2024,4027.5
300,Greece,544,Strawberries,2024,2886.8
300,Greece,568,Cantaloupes and other melons,2024,682.7
308,Grenada,372,Lettuce and chicory,2024,3505.4
308,Grenada,388,Tomatoes,2024,2170.9
308,Grenada,397,Cucumbers and gherkins,2024,1223.7
308,Grenada,568,Cantaloupes and other melons,2024,1835.5
328,Guyana,388,Tomatoes,2021,2718.5
328,Guyana,397,Cucumbers and gherkins,2021,695.4
328,Guyana,399,Eggplants (aubergines),2021,1898.3
328,Guyana,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2021,6887.3
328,Guyana,430,Okra,2021,1611.0
340,Honduras,372,Lettuce and chicory,2024,689.0
340,Honduras,388,Tomatoes,2024,1208.7
340,Honduras,397,Cucumbers and gherkins,2024,533.4
340,Honduras,399,Eggplants (aubergines),2024,562.7
340,Honduras,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,1333.5
340,Honduras,544,Strawberries,2008,1396.5
340,Honduras,568,Cantaloupes and other melons,2024,591.5
344,"China, Hong Kong SAR",372,Lettuce and chicory,2008,459.8
344,"China, Hong Kong SAR",388,Tomatoes,2008,209.3
344,"China, Hong Kong SAR",397,Cucumbers and gherkins,2008,559.9
344,"China, Hong Kong SAR",399,Eggplants (aubergines),2008,488.0
344,"China, Hong Kong SAR",401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2005,239.2
348,Hungary,372,Lettuce and chicory,2024,814.8
348,Hungary,388,Tomatoes,2024,577.4
348,Hungary,397,Cucumbers and gherkins,2024,1032.9
348,Hungary,399,Eggplants (aubergines),2024,994.5
348,Hungary,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,842.6
348,Hungary,544,Strawberries,2024,2924.5
348,Hungary,568,Cantaloupes and other melons,2024,739.2
352,Iceland,388,Tomatoes,2024,6009.4
352,Iceland,397,Cucumbers and gherkins,2024,3056.0
356,India,388,Tomatoes,2001,145.3
360,Indonesia,388,Tomatoes,2024,754.0
360,Indonesia,397,Cucumbers and gherkins,2024,404.4
360,Indonesia,399,Eggplants (aubergines),2024,485.7
360,Indonesia,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,2882.1
360,Indonesia,568,Cantaloupes and other melons,2024,590.8
364,Iran (Islamic Republic of),372,Lettuce and chicory,2023,178.2
364,Iran (Islamic Republic of),388,Tomatoes,2023,160.4
364,Iran (Islamic Republic of),397,Cucumbers and gherkins,2023,383.1
364,Iran (Islamic Republic of),399,Eggplants (aubergines),2023,268.1
364,Iran (Islamic Republic of),544,Strawberries,2023,1430.8
364,Iran (Islamic Republic of),568,Cantaloupes and other melons,2023,338.0
368,Iraq,372,Lettuce and chicory,2024,385.4
368,Iraq,388,Tomatoes,2024,413.8
368,Iraq,397,Cucumbers and gherkins,2024,896.2
368,Iraq,399,Eggplants (aubergines),2024,393.8
368,Iraq,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,692.3
368,Iraq,430,Okra,2024,1916.2
368,Iraq,568,Cantaloupes and other melons,2024,725.4
372,Ireland,372,Lettuce and chicory,2024,942.8
372,Ireland,388,Tomatoes,2024,1795.3
372,Ireland,544,Strawberries,1992,1337.4
376,Israel,372,Lettuce and chicory,2024,2207.5
376,Israel,388,Tomatoes,2024,1606.8
376,Israel,397,Cucumbers and gherkins,2024,1192.1
376,Israel,399,Eggplants (aubergines),2024,866.3
376,Israel,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,1459.1
376,Israel,544,Strawberries,2024,5658.0
376,Israel,568,Cantaloupes and other melons,2024,907.4
380,Italy,372,Lettuce and chicory,1999,514.0
380,Italy,388,Tomatoes,2024,944.0
380,Italy,397,Cucumbers and gherkins,1999,568.4
380,Italy,399,Eggplants (aubergines),1995,545.4
380,Italy,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1995,628.0
380,Italy,544,Strawberries,2007,2543.4
380,Italy,568,Cantaloupes and other melons,1999,285.9
384,C̫te d'Ivoire,388,Tomatoes,2024,852.6
384,C̫te d'Ivoire,397,Cucumbers and gherkins,2024,437.0
384,C̫te d'Ivoire,399,Eggplants (aubergines),2024,646.5
384,C̫te d'Ivoire,430,Okra,2024,872.4
388,Jamaica,372,Lettuce and chicory,2024,4184.4
388,Jamaica,388,Tomatoes,2024,2511.1
388,Jamaica,397,Cucumbers and gherkins,2024,1275.9
388,Jamaica,399,Eggplants (aubergines),2024,1452.4
388,Jamaica,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,4544.2
388,Jamaica,430,Okra,2024,2281.5
388,Jamaica,568,Cantaloupes and other melons,2024,1958.6
392,Japan,372,Lettuce and chicory,2024,1053.1
392,Japan,388,Tomatoes,2024,2394.9
392,Japan,397,Cucumbers and gherkins,2024,2432.5
392,Japan,399,Eggplants (aubergines),2024,2546.1
392,Japan,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,3468.4
392,Japan,544,Strawberries,2024,9632.3
392,Japan,568,Cantaloupes and other melons,2024,2980.8
398,Kazakhstan,388,Tomatoes,2024,984.8
398,Kazakhstan,397,Cucumbers and gherkins,2024,993.2
398,Kazakhstan,399,Eggplants (aubergines),2024,447.0
398,Kazakhstan,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,223.4
398,Kazakhstan,544,Strawberries,2023,3638.7
398,Kazakhstan,568,Cantaloupes and other melons,2024,137.9
400,Jordan,372,Lettuce and chicory,2024,149.0
400,Jordan,388,Tomatoes,2024,149.9
400,Jordan,397,Cucumbers and gherkins,2024,382.1
400,Jordan,399,Eggplants (aubergines),2024,343.0
400,Jordan,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,499.0
400,Jordan,430,Okra,2024,2351.4
400,Jordan,544,Strawberries,2024,1979.6
